"","V1","V2","NA"
"","ARHGEF1","ARHGAP1","STATE_CHANGE"
"","ARHGEF2","TUBA1A","IN_SAME_COMPONENT"
"","ARHGEF2","ARHGEF2","REACTS_WITH"
"","ARHGEF2","ARHGAP1","STATE_CHANGE"
"","ARHGEF2","RAC1","STATE_CHANGE"
"","ARHGEF7","GIT1","IN_SAME_COMPONENT"
"","ARHGEF7","PAK1","IN_SAME_COMPONENT"
"","ARHGEF7","SHANK1","IN_SAME_COMPONENT"
"","ARHGEF7","ARHGEF7","REACTS_WITH"
"","ARHGEF7","CDC42","STATE_CHANGE"
"","ARHGEF7","RAC1","STATE_CHANGE"
"","ARPC1B","WASF1","IN_SAME_COMPONENT"
"","ARPC1B","ARPC1B","REACTS_WITH"
"","ARRB1","CLTA","IN_SAME_COMPONENT"
"","ARRB1","F2RL1","IN_SAME_COMPONENT"
"","ARRB1","FZD1","IN_SAME_COMPONENT"
"","ARRB1","OPRM1","IN_SAME_COMPONENT"
"","ARRB1","PDE4D","IN_SAME_COMPONENT"
"","ARRB1","SRC","IN_SAME_COMPONENT"
"","ARRB1","ARRB1","REACTS_WITH"
"","ATF2","JUN","IN_SAME_COMPONENT"
"","ATF2","ATF2","REACTS_WITH"
"","ATP2B1","CALM1","IN_SAME_COMPONENT"
"","ATP2B1","CSNK1G1","IN_SAME_COMPONENT"
"","ATP2B1","ATP2B1","REACTS_WITH"
"","ATP6V0A1","VAMP2","IN_SAME_COMPONENT"
"","ATP6V0A1","ATP6V0A1","REACTS_WITH"
"","ATP6V0D1","VAMP2","IN_SAME_COMPONENT"
"","ATP6V0D1","ATP6V0D1","REACTS_WITH"
"","ATP6V1C1","SYP","IN_SAME_COMPONENT"
"","ATP6V1C1","VAMP2","IN_SAME_COMPONENT"
"","ATP6V1C1","ATP6V1C1","REACTS_WITH"
"","AXIN1","CTNNB1","IN_SAME_COMPONENT"
"","AXIN1","DVL1","IN_SAME_COMPONENT"
"","AXIN1","GSK3A","IN_SAME_COMPONENT"
"","AXIN1","MAP3K1","IN_SAME_COMPONENT"
"","AXIN1","MAP3K4","IN_SAME_COMPONENT"
"","AXIN1","AXIN1","REACTS_WITH"
"","BAD","BAK1","IN_SAME_COMPONENT"
"","BAD","BAX","IN_SAME_COMPONENT"
"","BAD","BCL2","IN_SAME_COMPONENT"
"","BAD","BCL2L1","IN_SAME_COMPONENT"
"","BAD","YWHAH","IN_SAME_COMPONENT"
"","BAD","BAD","REACTS_WITH"
"","BAG2","BCL2","IN_SAME_COMPONENT"
"","BAG2","RAF1","IN_SAME_COMPONENT"
"","BAG2","BAG2","REACTS_WITH"
"","BAK1","VDAC2","IN_SAME_COMPONENT"
"","BAK1","BAK1","REACTS_WITH"
"","BAX","BCL2","IN_SAME_COMPONENT"
"","BAX","BCL2L1","IN_SAME_COMPONENT"
"","BAX","BCL2L11","IN_SAME_COMPONENT"
"","BAX","BID","IN_SAME_COMPONENT"
"","BAX","COX5B","IN_SAME_COMPONENT"
"","BAX","BAX","REACTS_WITH"
"","BCAP31","BCL2","IN_SAME_COMPONENT"
"","BCAP31","BCL2L1","IN_SAME_COMPONENT"
"","BCAP31","CASP8","IN_SAME_COMPONENT"
"","BCAP31","BCAP31","REACTS_WITH"
"","BCAR1","CRK","IN_SAME_COMPONENT"
"","BCAR1","PTK2","IN_SAME_COMPONENT"
"","BCAR1","BCAR1","REACTS_WITH"
"","BCL2","BCL2L11","IN_SAME_COMPONENT"
"","BCL2","BID","IN_SAME_COMPONENT"
"","BCL2","BIK","IN_SAME_COMPONENT"
"","BCL2L11","BCL2L11","REACTS_WITH"
"","BCL2L1","BID","IN_SAME_COMPONENT"
"","BCL2L1","BIK","IN_SAME_COMPONENT"
"","BCL2L1","SIVA1","IN_SAME_COMPONENT"
"","BCL2L1","BCL2L1","REACTS_WITH"
"","BCL2","BCL2","REACTS_WITH"
"","BDKRB1","GNA11","IN_SAME_COMPONENT"
"","BDKRB1","GNAI3","IN_SAME_COMPONENT"
"","BDKRB1","GNAQ","IN_SAME_COMPONENT"
"","BDKRB1","BDKRB1","REACTS_WITH"
"","BDNF","NTRK2","IN_SAME_COMPONENT"
"","BDNF","BDNF","REACTS_WITH"
"","BID","COX5B","IN_SAME_COMPONENT"
"","BID","BID","REACTS_WITH"
"","BIK","BIK","REACTS_WITH"
"","BIRC2","CASP3","IN_SAME_COMPONENT"
"","BIRC2","CASP7","IN_SAME_COMPONENT"
"","BIRC2","BIRC2","REACTS_WITH"
"","BIRC3","CASP3","IN_SAME_COMPONENT"
"","BIRC3","CASP7","IN_SAME_COMPONENT"
"","BIRC3","BIRC3","REACTS_WITH"
"","BIRC5","CASP3","IN_SAME_COMPONENT"
"","BIRC5","CASP7","IN_SAME_COMPONENT"
"","BIRC5","DIABLO","IN_SAME_COMPONENT"
"","BIRC5","BIRC5","REACTS_WITH"
"","BIRC6","CASP9","STATE_CHANGE"
"","BIRC6","DIABLO","STATE_CHANGE"
"","BRSK2","RIMS1","STATE_CHANGE"
"","BSN","ERC2","IN_SAME_COMPONENT"
"","BSN","BSN","REACTS_WITH"
"","CABIN1","PPP3R1","IN_SAME_COMPONENT"
"","CABIN1","CABIN1","REACTS_WITH"
"","CABP1","CAMK2A","IN_SAME_COMPONENT"
"","CABP1","CABP1","REACTS_WITH"
"","CACNA1A","DNAJC5","IN_SAME_COMPONENT"
"","CACNA1A","SH3GL2","IN_SAME_COMPONENT"
"","CACNA1A","STX1A","IN_SAME_COMPONENT"
"","CACNA1A","STX3","IN_SAME_COMPONENT"
"","CACNA1A","SYT1","IN_SAME_COMPONENT"
"","CACNA1A","CACNA1A","REACTS_WITH"
"","CACNA1B","CASK","IN_SAME_COMPONENT"
"","CACNA1B","DNAJC5","IN_SAME_COMPONENT"
"","CACNA1B","RIMS1","IN_SAME_COMPONENT"
"","CACNA1B","SH3GL2","IN_SAME_COMPONENT"
"","CACNA1B","STX1A","IN_SAME_COMPONENT"
"","CACNA1B","STX3","IN_SAME_COMPONENT"
"","CACNA1B","VAMP1","IN_SAME_COMPONENT"
"","CACNA1B","CACNA1B","REACTS_WITH"
"","CACNA1C","DLG4","IN_SAME_COMPONENT"
"","CACNA1C","MAP2","IN_SAME_COMPONENT"
"","CACNA1C","RIMS1","IN_SAME_COMPONENT"
"","CACNA1C","SH3GL2","IN_SAME_COMPONENT"
"","CACNA1C","SRI","IN_SAME_COMPONENT"
"","CACNA1C","SYT1","IN_SAME_COMPONENT"
"","CACNA1C","CACNA1C","REACTS_WITH"
"","CACNA1E","SYT1","IN_SAME_COMPONENT"
"","CACNA1E","CACNA1E","REACTS_WITH"
"","CACNG7","DLG4","IN_SAME_COMPONENT"
"","CACNG7","GRIA1","IN_SAME_COMPONENT"
"","CACNG7","CACNG7","REACTS_WITH"
"","CALM1","CAMK2A","IN_SAME_COMPONENT"
"","CALM1","CAMK4","IN_SAME_COMPONENT"
"","CALM1","CAMKK2","IN_SAME_COMPONENT"
"","CALM1","CLTA","IN_SAME_COMPONENT"
"","CALM1","DAPK1","IN_SAME_COMPONENT"
"","CALM1","DRD2","IN_SAME_COMPONENT"
"","CALM1","EEF2K","IN_SAME_COMPONENT"
"","CALM1","GRIN2A","IN_SAME_COMPONENT"
"","CALM1","GRM7","IN_SAME_COMPONENT"
"","CALM1","IQGAP1","IN_SAME_COMPONENT"
"","CALM1","ITPR1","IN_SAME_COMPONENT"
"","CALM1","MARCKS","IN_SAME_COMPONENT"
"","CALM1","MYLK","IN_SAME_COMPONENT"
"","CALM1","MYRIP","IN_SAME_COMPONENT"
"","CALM1","NOS1","IN_SAME_COMPONENT"
"","CALM1","NRAS","IN_SAME_COMPONENT"
"","CALM1","PDE1A","IN_SAME_COMPONENT"
"","CALM1","PDE1B","IN_SAME_COMPONENT"
"","CALM1","PDE1C","IN_SAME_COMPONENT"
"","CALM1","PLCB1","IN_SAME_COMPONENT"
"","CALM1","PPP3R1","IN_SAME_COMPONENT"
"","CALM1","RAB3A","IN_SAME_COMPONENT"
"","CALM1","RAC1","IN_SAME_COMPONENT"
"","CALM1","RASGRF1","IN_SAME_COMPONENT"
"","CALM1","RIN1","IN_SAME_COMPONENT"
"","CALM1","RIT2","IN_SAME_COMPONENT"
"","CALM1","RYR1","IN_SAME_COMPONENT"
"","CALM1","UNC13B","IN_SAME_COMPONENT"
"","CALM1","VAPA","IN_SAME_COMPONENT"
"","CALM1","CALM1","REACTS_WITH"
"","CALR","CALR","REACTS_WITH"
"","CAMK1","CREB1","STATE_CHANGE"
"","CAMK1","SYN1","STATE_CHANGE"
"","CAMK2A","GRIN2A","IN_SAME_COMPONENT"
"","CAMK2A","MYRIP","IN_SAME_COMPONENT"
"","CAMK2A","NCAPH","IN_SAME_COMPONENT"
"","CAMK2A","STX1A","IN_SAME_COMPONENT"
"","CAMK2A","STX3","IN_SAME_COMPONENT"
"","CAMK2A","CAMK2A","REACTS_WITH"
"","CAMK2A","ARHGAP32","STATE_CHANGE"
"","CAMK2A","CACNA1B","STATE_CHANGE"
"","CAMK2A","CREB1","STATE_CHANGE"
"","CAMK2A","DLG1","STATE_CHANGE"
"","CAMK2A","GRIA1","STATE_CHANGE"
"","CAMK2A","KCND2","STATE_CHANGE"
"","CAMK2A","MAP2","STATE_CHANGE"
"","CAMK2A","NAPA","STATE_CHANGE"
"","CAMK2A","NAPB","STATE_CHANGE"
"","CAMK2A","NOS1","STATE_CHANGE"
"","CAMK2A","NSF","STATE_CHANGE"
"","CAMK2A","PPP2R5C","STATE_CHANGE"
"","CAMK2A","RASGRF1","STATE_CHANGE"
"","CAMK2A","RPH3A","STATE_CHANGE"
"","CAMK2A","RYR1","STATE_CHANGE"
"","CAMK2A","SYN1","STATE_CHANGE"
"","CAMK2A","SYNGAP1","STATE_CHANGE"
"","CAMK2A","SYT1","STATE_CHANGE"
"","CAMK2A","TIAM1","STATE_CHANGE"
"","CAMK2A","VAMP1","STATE_CHANGE"
"","CAMK2A","VAPA","STATE_CHANGE"
"","CAMK4","CAMK4","REACTS_WITH"
"","CAMK4","CREB1","STATE_CHANGE"
"","CAMK4","CREM","STATE_CHANGE"
"","CAMK4","NOS1","STATE_CHANGE"
"","CAMK4","SYN1","STATE_CHANGE"
"","CAMKK2","CAMKK2","REACTS_WITH"
"","CAMKK2","AKT1","STATE_CHANGE"
"","CAMKK2","CAMK1","STATE_CHANGE"
"","CAMKK2","CAMK4","STATE_CHANGE"
"","CANX","CANX","REACTS_WITH"
"","CAPN1","CABIN1","STATE_CHANGE"
"","CAPN1","GRIA1","STATE_CHANGE"
"","CAPN1","GRIN2A","STATE_CHANGE"
"","CAPN1","MAP2","STATE_CHANGE"
"","CAPN1","MAPT","STATE_CHANGE"
"","CAPN1","SPTBN2","STATE_CHANGE"
"","CAPZB","DNM1","IN_SAME_COMPONENT"
"","CAPZB","SYN1","IN_SAME_COMPONENT"
"","CAPZB","VASP","IN_SAME_COMPONENT"
"","CAPZB","CAPZB","REACTS_WITH"
"","CARD14","EIF4G2","IN_SAME_COMPONENT"
"","CARD14","CARD14","REACTS_WITH"
"","CARD14","EIF4E","STATE_CHANGE"
"","CARM1","CTNNB1","IN_SAME_COMPONENT"
"","CARM1","CARM1","REACTS_WITH"
"","CASKIN1","CSNK1G1","IN_SAME_COMPONENT"
"","CASKIN1","CASKIN1","REACTS_WITH"
"","CASK","LIN7A","IN_SAME_COMPONENT"
"","CASK","LIN7B","IN_SAME_COMPONENT"
"","CASK","LIN7C","IN_SAME_COMPONENT"
"","CASK","NRXN1","IN_SAME_COMPONENT"
"","CASK","NRXN2","IN_SAME_COMPONENT"
"","CASK","NRXN3","IN_SAME_COMPONENT"
"","CASK","RPH3A","IN_SAME_COMPONENT"
"","CASK","CASK","REACTS_WITH"
"","CASP3","NAIP","IN_SAME_COMPONENT"
"","CASP3","XIAP","IN_SAME_COMPONENT"
"","CASP3","CASP3","REACTS_WITH"
"","CASP3","DFFA","STATE_CHANGE"
"","CASP3","EIF4G2","STATE_CHANGE"
"","CASP3","GSN","STATE_CHANGE"
"","CASP3","MEF2B","STATE_CHANGE"
"","CASP3","PARP1","STATE_CHANGE"
"","CASP3","PIP4K2A","STATE_CHANGE"
"","CASP3","PPP2R5C","STATE_CHANGE"
"","CASP3","PPP3R1","STATE_CHANGE"
"","CASP3","PRKDC","STATE_CHANGE"
"","CASP3","PROKR1","STATE_CHANGE"
"","CASP3","RB1","STATE_CHANGE"
"","CASP6","LMNA","STATE_CHANGE"
"","CASP7","NAIP","IN_SAME_COMPONENT"
"","CASP7","XIAP","IN_SAME_COMPONENT"
"","CASP7","CASP7","REACTS_WITH"
"","CASP7","MEF2B","STATE_CHANGE"
"","CASP7","PROKR1","STATE_CHANGE"
"","CASP8","CFLAR","IN_SAME_COMPONENT"
"","CASP8","FADD","IN_SAME_COMPONENT"
"","CASP8","CASP8","REACTS_WITH"
"","CASP8","BID","STATE_CHANGE"
"","CASP8","CASP3","STATE_CHANGE"
"","CASP8","PROKR1","STATE_CHANGE"
"","CASP9","GSN","IN_SAME_COMPONENT"
"","CASP9","NAIP","IN_SAME_COMPONENT"
"","CASP9","XIAP","IN_SAME_COMPONENT"
"","CASP9","CASP9","REACTS_WITH"
"","CASP9","CASP3","STATE_CHANGE"
"","CASP9","CASP6","STATE_CHANGE"
"","CASP9","CASP7","STATE_CHANGE"
"","CAV1","STX1A","IN_SAME_COMPONENT"
"","CAV1","STX3","IN_SAME_COMPONENT"
"","CAV1","CAV1","REACTS_WITH"
"","CBLB","CRK","IN_SAME_COMPONENT"
"","CBLB","FYN","IN_SAME_COMPONENT"
"","CBLB","LCK","IN_SAME_COMPONENT"
"","CBLB","CBLB","REACTS_WITH"
"","CBLB","EGFR","STATE_CHANGE"
"","CBLB","PIK3CA","STATE_CHANGE"
"","CBLB","SHC1","STATE_CHANGE"
"","CBLB","SRC","STATE_CHANGE"
"","CBLB","VAV2","STATE_CHANGE"
"","CDC42","IQGAP1","IN_SAME_COMPONENT"
"","CDC42","MAP3K10","IN_SAME_COMPONENT"
"","CDC42","PAK1","IN_SAME_COMPONENT"
"","CDC42","WASF1","IN_SAME_COMPONENT"
"","CDC42","CDC42","REACTS_WITH"
"","CDH2","GRIK1","IN_SAME_COMPONENT"
"","CDH2","CDH2","REACTS_WITH"
"","CDK1","AMPH","STATE_CHANGE"
"","CDK5","STX1A","IN_SAME_COMPONENT"
"","CDK5","STX3","IN_SAME_COMPONENT"
"","CDK5","SYN1","IN_SAME_COMPONENT"
"","CDK5","CDK5","REACTS_WITH"
"","CDK5","AMPH","STATE_CHANGE"
"","CDK5","MAPT","STATE_CHANGE"
"","CDK5","NEFH","STATE_CHANGE"
"","CDK5","SYNJ1","STATE_CHANGE"
"","CERK","CERK","REACTS_WITH"
"","CERK","RAF1","STATE_CHANGE"
"","CFL1","YWHAH","IN_SAME_COMPONENT"
"","CFL1","CFL1","REACTS_WITH"
"","CFLAR","CFLAR","REACTS_WITH"
"","CHRM1","GNA11","IN_SAME_COMPONENT"
"","CHRM1","GNAQ","IN_SAME_COMPONENT"
"","CHRM1","RGS2","IN_SAME_COMPONENT"
"","CHRM1","CHRM1","REACTS_WITH"
"","CHRM2","GNAI3","IN_SAME_COMPONENT"
"","CHRM2","GNAO1","IN_SAME_COMPONENT"
"","CHRM2","RGS2","IN_SAME_COMPONENT"
"","CHRM2","CHRM2","REACTS_WITH"
"","CHRM4","EEF1A2","IN_SAME_COMPONENT"
"","CHRM4","GNAI3","IN_SAME_COMPONENT"
"","CHRM4","CHRM4","REACTS_WITH"
"","CHRNA7","CHRNA7","REACTS_WITH"
"","CIT","CIT","REACTS_WITH"
"","CLIP1","IQGAP1","IN_SAME_COMPONENT"
"","CLIP1","CLIP1","REACTS_WITH"
"","CLTA","CLTA","REACTS_WITH"
"","CLTC","EPN1","IN_SAME_COMPONENT"
"","CLTC","EPN2","IN_SAME_COMPONENT"
"","CLTC","SNAP91","IN_SAME_COMPONENT"
"","CLTC","SYNJ1","IN_SAME_COMPONENT"
"","CLTC","CLTC","REACTS_WITH"
"","CNKSR1","MAP4K1","IN_SAME_COMPONENT"
"","CNKSR1","MAPK1","IN_SAME_COMPONENT"
"","CNKSR1","RAF1","IN_SAME_COMPONENT"
"","CNKSR1","YWHAH","IN_SAME_COMPONENT"
"","CNKSR1","CNKSR1","REACTS_WITH"
"","CNR1","GNAI3","IN_SAME_COMPONENT"
"","CNR1","GNAO1","IN_SAME_COMPONENT"
"","CNR1","CNR1","REACTS_WITH"
"","CNR2","GNAI3","IN_SAME_COMPONENT"
"","CNR2","GNAO1","IN_SAME_COMPONENT"
"","CNR2","CNR2","REACTS_WITH"
"","CNTNAP1","NLGN1","IN_SAME_COMPONENT"
"","CNTNAP1","CNTNAP1","REACTS_WITH"
"","COL1A1","ITGB1","IN_SAME_COMPONENT"
"","COL1A1","COL1A1","REACTS_WITH"
"","COX5B","COX5B","REACTS_WITH"
"","CPLX1","STX1A","IN_SAME_COMPONENT"
"","CPLX1","STX3","IN_SAME_COMPONENT"
"","CPLX1","CPLX1","REACTS_WITH"
"","CPLX2","STX1A","IN_SAME_COMPONENT"
"","CPLX2","CPLX2","REACTS_WITH"
"","CREB1","CREBBP","IN_SAME_COMPONENT"
"","CREB1","CREM","IN_SAME_COMPONENT"
"","CREB1","GDNF","IN_SAME_COMPONENT"
"","CREB1","GTF2B","IN_SAME_COMPONENT"
"","CREB1","JUN","IN_SAME_COMPONENT"
"","CREB1","KCNIP3","IN_SAME_COMPONENT"
"","CREB1","TAF1","IN_SAME_COMPONENT"
"","CREB1","CREB1","REACTS_WITH"
"","CREBBP","CTNNB1","IN_SAME_COMPONENT"
"","CREBBP","EIF4G2","IN_SAME_COMPONENT"
"","CREBBP","ELK1","IN_SAME_COMPONENT"
"","CREBBP","JUN","IN_SAME_COMPONENT"
"","CREBBP","KAT2B","IN_SAME_COMPONENT"
"","CREBBP","KHDRBS2","IN_SAME_COMPONENT"
"","CREBBP","NFKB1","IN_SAME_COMPONENT"
"","CREBBP","SRF","IN_SAME_COMPONENT"
"","CREBBP","STAT1","IN_SAME_COMPONENT"
"","CREBBP","STAT5A","IN_SAME_COMPONENT"
"","CREBBP","TCF7","IN_SAME_COMPONENT"
"","CREBBP","TP53BP1","IN_SAME_COMPONENT"
"","CREBBP","CREBBP","REACTS_WITH"
"","CREM","KCNIP3","IN_SAME_COMPONENT"
"","CREM","CREM","REACTS_WITH"
"","CRIPT","DLG4","IN_SAME_COMPONENT"
"","CRIPT","TUBA1A","IN_SAME_COMPONENT"
"","CRIPT","CRIPT","REACTS_WITH"
"","CRK","EGFR","IN_SAME_COMPONENT"
"","CRK","PXN","IN_SAME_COMPONENT"
"","CRK","RAPGEF1","IN_SAME_COMPONENT"
"","CRK","REPS1","IN_SAME_COMPONENT"
"","CRK","SHC1","IN_SAME_COMPONENT"
"","CRK","CRK","REACTS_WITH"
"","CSK","SRC","IN_SAME_COMPONENT"
"","CSK","CSK","REACTS_WITH"
"","CSK","PTK2","STATE_CHANGE"
"","CSK","PXN","STATE_CHANGE"
"","CSNK1G1","PPP1R14A","IN_SAME_COMPONENT"
"","CSNK1G1","TBR1","IN_SAME_COMPONENT"
"","CSNK1G1","CSNK1G1","REACTS_WITH"
"","CSNK1G1","ANK1","STATE_CHANGE"
"","CSNK1G1","DVL1","STATE_CHANGE"
"","CSNK1G1","MAPT","STATE_CHANGE"
"","CSNK1G1","NFATC1","STATE_CHANGE"
"","CSNK1G1","SERPINB2","STATE_CHANGE"
"","CSNK1G1","STX3","STATE_CHANGE"
"","CSNK2A1","SNAP91","STATE_CHANGE"
"","CSNK2A1","STX1A","STATE_CHANGE"
